date,ticker,dir,size_pct,entry,sl,target_2r,risk_per_share,outcome,bars_to_resolve,R
2024-12-10,TTD,Long,17,135.805,131.7,144.02,4.1050,STOP,0,-1.000
2024-12-10,RVLV,Long,7,36.79,35.55,39.27,1.2400,STOP,0,-1.000
2024-12-10,CLS,Long,7,92.17,89.09,98.33,3.0800,STOP,0,-1.000
2024-12-10,SQQQ,Long,10,30.69,29.56,32.95,1.1300,TARGET,0,2.000
2024-12-11,DLTR,Long,11,73.165,69.92,79.66,3.2450,STOP,2,-1.000
2024-12-11,U,Long,15,26.49,26.06,27.35,0.4300,TARGET,0,2.000
2024-12-11,ARM,Long,13,141.22,135.83,152,5.3900,TARGET,2,2.000
2024-12-11,SQ,Long,14,97.2984,93.8,104.3,3.4984,NO_DATA,,
2024-12-11,SE,Long,15,115.55,111.7,123.25,3.8500,STOP,5,-1.000
2024-12-11,SMTC,Long,11,62.7,61.29,65.52,1.4100,TARGET,1,2.000
2024-12-11,SHOP,Long,13,117.26,112.69,126.4,4.5700,STOP,5,-1.000
2024-12-11,SMTC,Long,17,63.2,61.29,67.02,1.9100,TARGET,2,2.000
2024-12-12,U,Long,8,26.31,25.5,27.94,0.8100,STOP,0,-1.000
2024-12-12,RKLB,Long,8,23.37,22.67,24.77,0.7000,STOP,0,-1.000
2024-12-12,TTD,Long,13,134.19,132.87,136.83,1.3200,STOP,0,-1.000
2024-12-13,SPXS,Long,10,5.78,5.7,5.94,0.0800,TARGET,0,2.000
2024-12-13,NVDA,Short,15,138.22,139.6,135.46,1.3800,STOP,0,-1.000
2024-12-16,NTRA,Long,8,168.9,163.81,179.08,5.0900,STOP,2,-1.000
2024-12-16,HIMS,Long,8,30.3,28.4,34.1,1.9000,STOP,2,-1.000
2024-12-16,DOCS,Long,12,53.15,50.96,57.53,2.1900,TARGET,4,2.000
2024-12-16,SHOP,Long,10,116.43,113.44,122.41,2.9900,STOP,2,-1.000
2024-12-16,GEV,Long,12,337.85,331,351.55,6.8500,STOP,0,-1.000
2024-12-17,SMR,Long,6,22.15,21.23,23.99,0.9200,STOP,0,-1.000
2024-12-17,SQ,Long,17,94.3,91.55,99.8,2.7500,NO_DATA,,
2024-12-17,SHOP,Long,20,116.39,113.44,122.29,2.9500,STOP,1,-1.000
2024-12-17,TTD,Long,23,132.76,131.34,135.6,1.4200,STOP,0,-1.000
2024-12-17,SE,Long,18,114.64,113.01,117.9,1.6300,STOP,1,-1.000
2024-12-17,DDOG,Long,17,157.4,152.66,166.88,4.7400,STOP,1,-1.000
2024-12-18,PCOR,Long,9,79.4,77.16,83.88,2.2400,STOP,0,-1.000
2024-12-18,APP,Long,10,341.64,333,358.92,8.6400,STOP,0,-1.000
2024-12-18,APP,Long,9,335.74,326,355.22,9.7400,STOP,0,-1.000
2024-12-18,PLTR,Long,7,76.58,73.88,81.98,2.7000,STOP,0,-1.000
2024-12-20,SMTC,Long,10,63.78,62.26,66.82,1.5200,STOP,0,-1.000
2024-12-20,MRVL,Long,10,109.81,107.37,114.69,2.4400,TARGET,2,2.000
2024-12-20,PLTR,Long,10,73.42,71.5,77.26,1.9200,STOP,0,-1.000
2024-12-20,RDDT,Long,10,167.7,158.77,185.56,8.9300,STOP,7,-1.000
2024-12-20,TSLA,Long,10,440.74,417.64,486.94,23.1000,STOP,1,-1.000
2024-12-20,DOCU,Long,10,95.41,92.22,101.79,3.1900,STOP,4,-1.000
2024-12-30,ALAB,Long,10,136.24,133.31,142.1,2.9300,STOP,0,-1.000
2024-12-30,APP,Long,10,338.21,325.21,364.21,13.0000,STOP,0,-1.000
2024-12-31,IBIT,Long,10,54.04,51.77,58.58,2.2700,STOP,7,-1.000
2025-01-02,MRVL,Long,11,112.57,109.78,118.15,2.7900,TARGET,1,2.000
2025-01-02,PLTR,Long,10,74.07,72.43,77.35,1.6400,STOP,0,-1.000
2025-01-03,RBRK,Long,10,67.27,64.05,73.71,3.2200,STOP,2,-1.000
2025-01-06,CIEN,Long,16,84.64,82.01,89.9,2.6300,STOP,1,-1.000
2025-01-07,TSLA,Long,10,412.09,401.7,432.87,10.3900,STOP,0,-1.000
2025-01-08,RCL,Long,16,227.52,220.45,241.66,7.0700,TARGET,6,2.000
2025-01-10,ONON,Long,16,55.96,54.31,59.26,1.6500,STOP,1,-1.000
2025-01-10,TSLA,Long,15,385.85,373.04,411.47,12.8100,TARGET,2,2.000
2025-01-10,RKLB,Long,8,27.46,25.89,30.6,1.5700,STOP,1,-1.000
2025-01-13,HOOD,Long,18,39.55,38.42,41.81,1.1300,STOP,0,-1.000
2025-01-14,SPOT,Long,16,466.17,451.43,495.65,14.7400,TARGET,2,2.000
2025-01-15,AVGO,Long,15,227.16,219.51,242.46,7.6500,TARGET,3,2.000
2025-01-15,DOCU,Long,12,91.65,87.8,99.35,3.8500,STOP,18,-1.000
2025-01-16,IBIT,Long,10,56.9,53.97,62.76,2.9300,STOP,11,-1.000
2025-01-22,ALAB,Long,11,124.45,119.02,135.31,5.4300,STOP,1,-1.000
2025-01-23,HUT,Long,8,26.41,24.72,29.79,1.6900,STOP,2,-1.000
2025-01-23,BROS,Long,12,60.03,58.78,62.53,1.2500,STOP,2,-1.000
2025-01-24,NTRA,Long,19,171.76,167.17,180.94,4.5900,STOP,0,-1.000
2025-01-27,GEO,Long,15,32.74,31.66,34.9,1.0800,STOP,0,-1.000
2025-01-27,BROS,Long,15,59.71,57.78,63.57,1.9300,STOP,0,-1.000
2025-01-27,SHOP,Long,11,107.36,102.52,117.04,4.8400,STOP,0,-1.000
2025-01-28,IBIT,Long,11,58.86,56.15,64.28,2.7100,STOP,4,-1.000
2025-01-28,SE,Long,10,118.19,112.81,128.95,5.3800,TARGET,10,2.000
2025-01-28,XYZ,Long,10,87.59,84.25,94.27,3.3400,STOP,10,-1.000
2025-01-28,FOUR,Long,10,117.27,112.93,125.95,4.3400,STOP,4,-1.000
2025-01-28,CART,Long,10,46.66,44.81,50.36,1.8500,TARGET,9,2.000
2025-01-29,RKLB,Long,10,29.84,27.85,33.82,1.9900,STOP,1,-1.000
2025-01-29,VITL,Long,10,44.1,41.94,48.42,2.1600,STOP,3,-1.000
2025-01-29,IBIT,Long,10,58.83,56.15,64.19,2.6800,STOP,3,-1.000
2025-01-30,TSLA,Long,15,392.77,384.48,409.35,8.2900,STOP,0,-1.000
2025-01-31,CRWD,Long,15,404.26,390.22,432.34,14.0400,STOP,1,-1.000
2025-09-04,MU,Long,6,121.5,111.23,142.04,10.2700,TARGET,4,2.000
2025-09-04,TSLA,Long,8,335.9,313.36,380.98,22.5400,TARGET,6,2.000
2025-09-05,SPOT,Long,9,706.99,663.04,794.89,43.9500,STOP,29,-1.000
2025-09-05,PLTR,Long,10,155.37,147.25,171.61,8.1200,TARGET,6,2.000
2025-09-05,META,Long,12,751.33,721.79,810.41,29.5400,STOP,18,-1.000
2025-09-05,HOOD,Long,12,98.53,96.55,102.49,1.9800,STOP,0,-1.000
2025-09-08,AMZN,Long,10,234.51,221.17,261.19,13.3400,STOP,11,-1.000
2025-09-08,QCOM,Long,10,160.05,152.19,175.77,7.8600,TARGET,35,2.000
2025-09-08,PLTR,Long,14,156.34,147.25,174.52,9.0900,TARGET,8,2.000
2025-09-08,UBER,Long,12,93.67,89.64,101.73,4.0300,TARGET,10,2.000
2025-09-08,SPOT,Long,13,712.11,669.71,796.91,42.4000,STOP,23,-1.000
2025-09-08,TSLA,Long,13,340.55,309.26,403.13,31.2900,TARGET,5,2.000
2025-09-09,GEV,Long,12,605.48,579.32,657.8,26.1600,TARGET,26,2.000
2025-09-09,UBER,Long,18,93.64,89.64,101.64,4.0000,TARGET,9,2.000
2025-09-09,PLTR,Long,19,156.85,147.25,176.05,9.6000,TARGET,7,2.000
2025-09-10,IBIT,Long,14,64.81,63.62,67.18,1.1900,STOP,8,-1.000
2025-09-10,WBD,Long,9,12.22,11.55,13.56,0.6700,TARGET,1,2.000
2025-09-10,CCL,Long,12,31.17,30.5,32.51,0.6700,TARGET,1,2.000
2025-09-11,OKLO,Long,9,73.62,69.68,81.5,3.9400,TARGET,1,2.000
2025-09-11,RKLB,Long,8,46.7,44.06,51.98,2.6400,TARGET,1,2.000
2025-09-16,HOOD,Long,8,115.46,107.99,130.39,7.4700,TARGET,9,1.999
2025-09-16,IBIT,Long,18,65.03,63.62,67.85,1.4100,STOP,4,-1.000
2025-09-16,RKLB,Long,7,47.15,45.39,50.67,1.7600,TARGET,0,2.000
2025-09-17,VRT,Long,9,137.27,129.25,153.31,8.0200,TARGET,10,2.000
2025-09-19,VRT,Long,16,138.74,129.25,157.72,9.4900,TARGET,8,2.000
2025-09-19,RKLB,Long,8,48.64,45.76,54.4,2.8800,STOP,4,-1.000
2025-09-19,GEV,Long,17,611.48,579.32,675.8,32.1600,STOP,23,-1.000
2025-09-23,IBKR,Long,13,64.94,62.41,70,2.5300,TARGET,5,2.000
2025-09-24,NVDA,Long,17,178.91,173.7,189.33,5.2100,STOP,1,-1.000
2025-09-25,SNOW,Long,18,219.28,217.71,222.42,1.5700,STOP,0,-1.000
2025-09-25,NVDA,Long,17,175.87,173.46,180.69,2.4100,STOP,0,-1.000
2025-09-25,RKLB,Long,11,48.31,46.23,52.47,2.0800,STOP,0,-1.000
2025-09-25,AMD,Long,17,158.79,157.55,161.27,1.2400,STOP,0,-1.000
2025-09-25,VRT,Long,21,139.01,133.33,150.37,5.6800,TARGET,3,2.000
2025-09-25,ANET,Long,11,142.54,139.28,149.06,3.2600,STOP,0,-1.000
2025-09-30,TEM,Long,14,79.8,78.39,82.62,1.4100,STOP,0,-1.000
2025-10-02,MP,Long,11,68.55,66.82,72.01,1.7300,TARGET,1,2.000
2025-10-02,MP,Long,11,68.55,66.82,72.01,1.7300,TARGET,1,2.000
2025-10-02,CRDO,Long,15,146.67,144.15,151.71,2.5200,TARGET,0,2.000
2025-10-02,SHOP,Long,15,148.91,144.05,158.63,4.8600,TARGET,1,2.000
2025-10-03,ALAB,Long,14,201.97,200.69,204.53,1.2800,STOP,0,-1.000
2025-10-07,ALAB,Long,11,211.87,202.39,230.83,9.4800,STOP,4,-1.000
2025-10-07,GEV,Long,25,606.78,601.08,618.18,5.7000,STOP,0,-1.000
2025-10-07,CLS,Long,13,235.7,233.47,240.16,2.2300,STOP,0,-1.000
2025-10-08,MP,Long,8,70.3,68.09,74.72,2.2100,TARGET,0,2.000
2025-10-09,PLTR,Long,11,182.15,173.94,198.57,8.2100,STOP,1,-1.000
2025-10-14,CRDO,Long,14,147.66,142.46,158.06,5.2000,STOP,0,-1.000
2025-10-14,JOBY,Long,7,17.06,16,19.18,1.0600,STOP,0,-1.000
2025-10-14,TEM,Long,7,88.9,85.89,94.92,3.0100,TARGET,2,2.000
2025-10-14,SNOW,Long,6,240.8,230.43,261.54,10.3700,TARGET,9,2.000
2025-10-14,CRWV,Long,7,136.72,126.14,157.88,10.5800,STOP,5,-1.000
2025-10-14,PLTR,Long,12,181.33,173.59,196.81,7.7400,STOP,0,-1.000
2025-10-15,SNOW,Long,11,242.17,231.4,263.71,10.7700,TARGET,8,2.000
2025-10-15,TEM,Long,7,93.17,86.46,106.59,6.7100,STOP,2,-1.000
2025-10-15,CRWV,Long,8,136.03,127,154.09,9.0300,STOP,3,-1.000
2025-10-16,HOOD,Long,17,132.65,131.67,134.61,0.9800,STOP,0,-1.000
2025-10-17,SNOW,Long,15,240.35,232.18,256.69,8.1700,TARGET,5,2.000
2025-10-17,SMCI,Long,14,52.34,50.52,55.98,1.8200,TARGET,1,2.000
2025-10-17,NVDA,Long,14,183.82,180.46,190.54,3.3600,STOP,0,-1.000
2025-10-20,DELL,Long,12,149.9,143.46,162.78,6.4400,TARGET,6,2.000
2025-10-20,CRWD,Long,21,490.16,478.36,513.76,11.8000,TARGET,3,2.000
2025-10-20,PLTR,Long,11,182.38,174.35,198.44,8.0300,STOP,2,-1.000
2025-10-21,OKLO,Long,5,147.73,134.11,174.97,13.6200,STOP,1,-1.000
2025-10-21,CRDO,Long,10,147.03,139.93,161.23,7.1000,STOP,1,-1.000
2025-10-22,CRDO,Long,15,144.76,139.88,154.52,4.8800,STOP,0,-1.000
2025-10-22,VRT,Long,13,166.67,160.46,179.09,6.2100,TARGET,0,2.000
2025-10-22,VRT,Long,13,167.04,160.31,180.5,6.7300,TARGET,0,2.000
2025-10-22,DELL,Long,21,146.71,143.18,153.77,3.5300,TARGET,1,2.000
2025-10-22,SNOW,Long,9,240.7,234.26,253.58,6.4400,TARGET,2,2.000
2025-10-23,DDOG,Long,16,155.53,150.57,165.45,4.9600,TARGET,7,2.000
2025-10-23,CRDO,Long,13,144.25,138.69,155.37,5.5600,STOP,0,-1.000
2025-10-23,RKLB,Long,9,62.29,58.8,69.27,3.4900,STOP,8,-1.000
2025-10-23,TSLA,Long,13,436.97,420.64,469.63,16.3300,STOP,0,-1.000
2025-10-23,CEG,Long,13,362.88,356.04,376.56,6.8400,STOP,0,-1.000
2025-10-24,TSLA,Long,18,438.77,420.64,475.03,18.1300,STOP,14,-1.000
2025-10-24,TSLA,Long,8,434.96,422.36,471.67,12.6000,TARGET,6,2.913
2025-10-30,RKLB,Long,13,62.95,58.8,71.25,4.1500,STOP,3,-1.000
2025-10-31,SOFI,Long,9,29.31,27.73,32.47,1.5800,STOP,4,-1.000
2025-10-31,ASTS,Long,6,79.1,72.77,91.76,6.3300,STOP,1,-1.000
2025-10-31,HPE,Long,12,24.76,23.7,26.88,1.0600,STOP,2,-1.000
2025-10-31,COIN,Long,10,354.2,336.98,388.64,17.2200,STOP,0,-1.000
2025-10-31,SOFI,Long,17,29.06,27.68,31.82,1.3800,STOP,4,-1.000
2025-10-31,COIN,Long,20,350.6,336.98,377.84,13.6200,STOP,0,-1.000
2025-11-03,TSLA,Long,10,456.04,432.6,502.92,23.4400,STOP,4,-1.000
2025-11-25,CAT,Long,18,557.16,542.63,586.22,14.5300,TARGET,5,2.000
2025-11-25,WDC,Long,11,150.89,144.32,164.03,6.5700,TARGET,3,2.000
2025-11-25,CIEN,Long,8,194.48,181.87,219.7,12.6100,TARGET,9,2.000
2025-11-25,LRCX,Long,10,152.07,146.9,162.41,5.1700,STOP,0,-1.000
2025-11-26,IBM,Long,10,303.5,295.55,319.4,7.9500,STOP,24,-1.000
2025-11-26,CLS,Long,7,319.65,298.37,362.21,21.2800,STOP,4,-1.000
2025-11-26,APH,Long,12,138.86,132.89,150.8,5.9700,STOP,11,-1.000
2025-11-28,VRT,Long,9,177.26,167.39,197,9.8700,STOP,9,-1.000
2025-12-01,TSLA,Long,14,429.15,414.28,458.89,14.8700,TARGET,9,2.000
2025-12-01,VRT,Long,14,177.76,167.39,198.5,10.3700,STOP,8,-1.000
2025-12-01,SOFI,Long,7,29.35,27.24,33.57,2.1100,STOP,4,-1.000
2025-12-01,IBM,Long,19,304.56,296.78,320.12,7.7800,STOP,13,-1.000
2025-12-02,GEV,Long,10,600.31,566.64,667.65,33.6700,TARGET,6,2.000
2025-12-02,TSLA,Long,14,430.51,414.99,461.55,15.5200,TARGET,8,2.000
2025-12-03,KLAC,Long,13,1184.6,1139.38,1275.04,45.2200,TARGET,13,2.000
2025-12-03,CLS,Long,11,311.27,302.29,329.23,8.9800,STOP,0,-1.000
2025-12-04,CLS,Long,14,313.81,302.44,336.55,11.3700,TARGET,2,2.000
2025-12-04,SOFI,Long,8,29.52,27.65,33.26,1.8700,STOP,1,-1.000
2025-12-05,HOOD,Long,8,130.9,122.88,146.94,8.0200,STOP,4,-1.000
2025-12-09,SHOP,Long,11,160.7,153.59,174.92,7.1100,STOP,27,-1.000
2025-12-11,CRWD,Long,16,518.95,507.35,542.15,11.6000,STOP,1,-1.000
2025-12-11,APH,Long,19,138.63,135.64,144.61,2.9900,STOP,0,-1.000
2025-12-11,VRT,Long,18,177.18,172.18,187.18,5.0000,STOP,0,-1.000
2025-12-12,PLTR,Long,11,181.89,173.65,198.37,8.2400,TARGET,6,2.000
2025-12-12,PLTR,Long,12,180.97,173.41,196.09,7.5600,TARGET,6,2.000
2025-12-12,GOOG,Long,22,310.98,303.78,325.38,7.2000,STOP,3,-1.000
2025-12-15,RDDT,Long,10,217.42,212.51,227.24,4.9100,TARGET,2,2.000
2025-12-16,RDDT,Long,10,217,212.31,226.38,4.6900,TARGET,1,2.000
2025-12-16,SHOP,Long,10,161.24,155.56,172.6,5.6800,TARGET,2,2.000
2025-12-16,APP,Long,8,674.75,632.71,758.83,42.0400,STOP,11,-1.000
2025-12-18,TER,Long,11,191.32,184.25,205.46,7.0700,TARGET,9,2.000
2025-12-19,GLW,Long,14,88.74,85.49,95.24,3.2500,STOP,10,-1.000
2025-12-22,GOOG,Long,15,311.31,303.36,327.21,7.9500,TARGET,11,2.000
2025-12-23,RKT,Long,10,18.87,18.39,19.83,0.4800,TARGET,4,2.000
2025-12-26,RDDT,Long,6,223.54,219.13,232.36,4.4100,TARGET,1,2.000
2025-12-29,SNDK,Long,5,246.03,218.94,300.21,27.0900,TARGET,5,2.000
2025-12-30,TSLA,Long,12,460.19,455.55,469.47,4.6400,STOP,0,-1.000
2025-12-30,SNDK,Long,8,243.29,218.94,291.99,24.3500,TARGET,4,2.000
2025-12-30,AMZN,Long,24,232.62,227.82,242.22,4.8000,STOP,2,-1.000
2025-12-31,GOOG,Long,25,312.91,303.36,332.01,9.5500,TARGET,7,2.000
2026-01-02,IBIT,Long,10,50.53,50.02,51.55,0.5100,TARGET,0,2.000
2026-01-02,AMD,Long,12,221.95,212.7,240.45,9.2500,STOP,2,-1.000
2026-01-02,RIVN,Long,12,19.42,18.62,21.02,0.8000,STOP,6,-1.000
2026-01-05,RCL,Long,15,278.31,276.64,281.65,1.6700,STOP,0,-1.000
2026-01-05,AMZU,Long,10,35.48,34.56,37.32,0.9200,STOP,0,-1.000
2026-01-05,VRT,Long,10,173.54,165.01,190.6,8.5300,STOP,1,-1.000
2026-01-06,VRT,Long,15,171.58,164.76,185.22,6.8200,STOP,0,-1.000
2026-01-06,SHOP,Long,14,166.655,160.87,178.23,5.7850,STOP,0,-1.000
2026-01-07,IBIT,Long,10,51.835,50.51,54.49,1.3250,TARGET,5,2.004
2026-01-07,CLS,Long,11,308.78,295.15,336.04,13.6300,STOP,1,-1.000
2026-01-08,NVDA,Long,18,186.05,183.47,191.21,2.5800,STOP,2,-1.000
2026-01-09,IREN,Long,5,46.73,41.51,57.17,5.2200,TARGET,5,2.000
2026-01-09,SOLT,Long,5,7.95,7.14,9.57,0.8100,TARGET,0,2.000
2026-01-12,QBTS,Long,8,28.47,26.76,31.89,1.7100,STOP,5,-1.000
2026-01-14,OKLO,Long,10,93.02,88.47,102.12,4.5500,STOP,4,-1.000
2026-01-14,VRT,Long,14,172.72,165.27,187.62,7.4500,TARGET,5,2.000
2026-01-14,COHR,Long,11,186.38,177.99,203.16,8.3900,TARGET,1,2.000
2026-01-14,CRDO,Long,8,153.88,143.65,174.34,10.2300,STOP,4,-1.000
2026-01-15,ALAB,Long,8,171.85,160.82,193.91,11.0300,STOP,9,-1.000
2026-01-15,QBTS,Long,12,28.84,26.76,33,2.0800,STOP,2,-1.000
2026-01-16,SOLT,Long,8,8.08,7.14,9.96,0.9400,TARGET,0,2.000
2026-01-20,NBIS,Long,8,100.61,94.25,113.33,6.3600,STOP,1,-1.000
2026-01-20,COHR,Long,8,192.19,180.51,215.55,11.6800,TARGET,5,2.000
2026-01-20,CRDO,Long,12,153.69,143.65,173.77,10.0400,STOP,1,-1.000
2026-01-20,OKLO,Long,13,92.79,88.47,101.43,4.3200,STOP,1,-1.000
2026-01-21,NBIS,Long,13,98.16,94.25,105.98,3.9100,STOP,0,-1.000
2026-01-21,ALAB,Long,11,175.56,160.82,205.04,14.7400,STOP,6,-1.000
2026-01-21,CVNA,Long,12,451.14,433.92,485.58,17.2200,STOP,0,-1.000
2026-01-21,NBIS,Long,11,98.22,94.03,106.6,4.1900,STOP,0,-1.000
2026-01-21,ALAB,Long,10,177.21,163.36,204.91,13.8500,STOP,3,-1.000
